,A,B,tie,label,id,log_loss,perplexity
0,0.609,0.1139,0.277,0,96401,0.496000962715675,1.6421099818780027
1,0.395,0.321,0.2837,1,370945,1.1359300516753048,2.0003755797789275
2,0.3662,0.2886,0.3452,1,441448,1.2428029687533002,2.0003755797789275
3,0.3823,0.245,0.3728,0,587904,0.9616083530311209,2.0003755797789275
4,0.6543,0.186,0.1598,1,604575,1.681941673895223,2.0003755797789275
5,0.2385,0.522,0.2395,1,863398,0.6501400751343531,1.9158925218345784
6,0.3335,0.2499,0.4167,0,887722,1.0982461894511342,2.0003755797789275
7,0.2351,0.362,0.4028,2,933555,0.9092355998247175,2.0003755797789275
8,0.3508,0.3318,0.3176,1,1404102,1.1035058633957273,2.0003755797789275
9,0.2194,0.2766,0.504,2,1827787,0.6852429623542033,1.9840288737112168
10,0.3896,0.2793,0.331,1,2912862,1.2754799947796005,2.0003755797789275
11,0.5527,0.2083,0.2391,2,3254113,1.430845992197274,2.0003755797789275
12,0.1495,0.4104,0.4402,2,3259481,0.8206810063785521,2.0003755797789275
13,0.4167,0.2347,0.3486,0,3499263,0.8753955067874287,2.0003755797789275
14,0.2595,0.5103,0.2305,2,3777134,1.4678841114013705,2.0003755797789275
15,0.3298,0.3945,0.2756,2,3995635,1.2886786025696817,2.0003755797789275
16,0.04724,0.742,0.2107,1,4186011,0.2982754351816021,1.3477110895505815
17,0.3372,0.3635,0.2993,0,4356730,1.0872030133100516,2.0003755797789275
18,0.0773,0.747,0.1758,2,4510489,1.7386370175717685,2.0003755797789275
19,0.2732,0.1875,0.539,2,4683272,0.6176795888901839,1.8546906143493744
20,0.203,0.4668,0.33,2,4790276,1.1083038323527474,2.0003755797789275
21,0.7275,0.1378,0.1346,2,5061737,2.0051243280257864,2.0003755797789275
22,0.7715,0.0926,0.1361,2,5069186,1.9944867520920595,2.0003755797789275
23,0.6074,0.1475,0.245,0,5188727,0.4984096350965867,1.6459964988809193
24,0.5747,0.1666,0.2588,0,5530797,0.5540169417616474,1.7402873672551362
25,0.2439,0.4805,0.2756,1,6058088,0.732993089107145,2.0003755797789275
26,0.2515,0.4111,0.3372,1,6223290,0.8885948014848978,2.0003755797789275
27,0.761,0.11,0.1285,0,6394907,0.27257494666944804,1.3132550953242474
28,0.2474,0.2668,0.4856,2,6492528,0.7222568101016845,2.0003755797789275
29,0.262,0.4036,0.3345,1,7324219,0.9074190688983196,2.0003755797789275
30,0.357,0.3374,0.3057,2,7591373,1.1852686150593,2.0003755797789275
31,0.33,0.3584,0.3115,1,7886413,1.0261099575448829,2.0003755797789275
32,0.3335,0.3853,0.2815,1,8017578,0.9540967761410515,2.0003755797789275
33,0.755,0.0857,0.1595,1,8108394,2.4571020061160036,2.0003755797789275
34,0.1688,0.643,0.1881,1,8210755,0.44150728441611736,1.555238914789634
35,0.455,0.256,0.2888,0,8785767,0.7872861714738072,2.0003755797789275
36,0.5264,0.254,0.2196,0,8948997,0.641634156926769,1.8992193909195685
37,0.3179,0.3064,0.3755,2,9424912,0.9792838462215805,2.0003755797789275
38,0.1187,0.5254,0.3557,2,9473040,1.033448238289536,2.0003755797789275
39,0.2556,0.5063,0.238,1,9558869,0.6805317779298711,1.9747505433819224
40,0.3877,0.429,0.1833,1,9638121,0.8464030785322465,2.0003755797789275
41,0.3433,0.0889,0.568,0,9644862,1.0693231276424142,2.0003755797789275
42,0.649,0.143,0.2083,2,9740296,1.5691286820901902,2.0003755797789275
43,0.378,0.349,0.273,0,9865433,0.9730471125696712,2.0003755797789275
44,0.3022,0.3486,0.349,0,10875646,1.1965137134748023,2.0003755797789275
45,0.407,0.2686,0.3245,1,10993520,1.3147007079328819,2.0003755797789275
46,0.4688,0.2878,0.2435,1,11089285,1.2454663290444985,2.0003755797789275
47,0.1641,0.406,0.43,1,11174153,0.9013876875264161,2.0003755797789275
48,0.2244,0.5474,0.2283,0,11288315,1.4944800443636566,2.0003755797789275
49,0.553,0.2522,0.1945,0,11477748,0.5918726473677052,1.8075404181067167
50,0.3171,0.3208,0.3618,0,11570555,1.1481719796165704,2.0003755797789275
51,0.3435,0.3767,0.2798,1,11607871,0.9762823143561828,2.0003755797789275
52,0.7085,0.1115,0.1799,0,12030710,0.3445496962562396,1.4113286583515687
53,0.1891,0.51,0.301,2,12688674,1.2004385857913125,2.0003755797789275
54,0.02481,0.909,0.0658,1,12749848,0.09499888245485791,1.0996501444234914
